iter	Logloss	Accuracy
599	0.04420592131	0.9871066183
600	0.04420592131	0.9871066183
601	0.04418871055	0.9871829105
602	0.04418869959	0.9871829105
603	0.04418864301	0.9871829105
604	0.04413784495	0.9872592027
605	0.0440988909	0.9872973488
606	0.0440987536	0.9872973488
607	0.04409870372	0.9872973488
608	0.0440983459	0.9872973488
609	0.04409817454	0.9872973488
610	0.04409817187	0.9872973488
611	0.04409815885	0.9872973488
612	0.04409792347	0.9872973488
613	0.04409778758	0.9872973488
614	0.04409778758	0.9872973488
615	0.04402065133	0.9871066183
616	0.04387023925	0.9872592027
617	0.04387006828	0.9872592027
618	0.04386991327	0.9872592027
619	0.04386988344	0.9872592027
620	0.04386963782	0.9872592027
621	0.04386534427	0.9872210566
622	0.04382165371	0.9872210566
623	0.04371976198	0.9872210566
624	0.04371954143	0.9872210566
625	0.04371953706	0.9872210566
626	0.04359901296	0.9871447644
627	0.04348297638	0.9872592027
628	0.04348292831	0.9872592027
629	0.04317260165	0.9875262254
630	0.04314495501	0.9874880793
631	0.04314492871	0.9874880793
632	0.04285840033	0.9876788098
633	0.04280230138	0.9877169559
634	0.04264903198	0.9878695403
635	0.04259340284	0.9878695403
636	0.0424879945	0.9877932481
637	0.04226621574	0.987755102
638	0.04220269506	0.9877932481
639	0.04211373346	0.9877932481
640	0.04205276582	0.9875262254
641	0.0419881972	0.9877169559
642	0.04163443984	0.9877932481
643	0.04157381758	0.9877932481
644	0.04157360097	0.9877932481
645	0.04157282159	0.9877932481
646	0.04142735146	0.9878695403
647	0.04136490158	0.9879458325
648	0.04126074771	0.9879076864
649	0.041259796	0.9878695403
650	0.04114463975	0.9878313942
651	0.04100420872	0.9879076864
652	0.04094019704	0.9879076864
653	0.04093959613	0.9879458325
654	0.04088858578	0.9880221247
655	0.04088849659	0.9880221247
656	0.04078864762	0.9880602708
657	0.04063708984	0.9881747091
658	0.04050444307	0.9882510013
659	0.04050438854	0.9882510013
660	0.04042221215	0.9882891474
661	0.04034828323	0.9882128552
662	0.04028871828	0.9882891474
663	0.04028795299	0.9882891474
664	0.04028792918	0.9882891474
665	0.04028780439	0.9882891474
666	0.04019486873	0.9884035857
667	0.04014697078	0.9884417318
668	0.04012348142	0.9884035857
669	0.04004325031	0.9883654396
670	0.04001886757	0.9884417318
671	0.04001614254	0.988518024
672	0.04000291187	0.988518024
673	0.04000272756	0.988518024
674	0.0399459255	0.9885943162
675	0.03994567162	0.9885943162
676	0.03979484664	0.9884798779
677	0.03975714964	0.9884798779
678	0.03975674612	0.9884798779
679	0.03959994628	0.9885943162
680	0.03952521442	0.9886324623
681	0.03952482169	0.9886324623
682	0.03945953743	0.9886706084
683	0.03939894468	0.9887850467
684	0.03931232047	0.9888613389
685	0.03925959399	0.9889376311
686	0.03923181598	0.9887469006
687	0.03915536985	0.9887469006
688	0.03909077061	0.9889376311
689	0.0390440031	0.988899485
690	0.03887075832	0.9889376311
691	0.03881785534	0.9889376311
692	0.03877973809	0.9889757772
693	0.03877968708	0.9889757772
694	0.03871419313	0.9889376311
695	0.03871402524	0.9889376311
696	0.0386423167	0.9890139233
697	0.038536253	0.9890139233
698	0.03853586958	0.9890139233
699	0.03832658589	0.9890520694
700	0.03831428739	0.9890520694
701	0.03831426048	0.9890520694
702	0.03831407328	0.9890520694
703	0.0382748965	0.9890902155
704	0.03827223201	0.9890902155
705	0.03827217649	0.9890902155
706	0.03827141783	0.9890902155
707	0.03816927307	0.9891665077
708	0.0380355206	0.9893953843
709	0.03795061589	0.989280946
710	0.03794255976	0.989280946
711	0.0378751462	0.9894335304
712	0.0378383993	0.9893953843
713	0.03778915957	0.9894716765
714	0.03778875584	0.9894716765
715	0.0377887445	0.9894716765
716	0.03769631204	0.9895479687
717	0.03767631132	0.9895479687
718	0.03762846892	0.9895861148
719	0.03762843888	0.9895861148
720	0.03762838071	0.9895861148
721	0.03755721497	0.9895479687
722	0.03745642935	0.9897386992
723	0.03732647625	0.9898912836
724	0.03732638339	0.9898912836
725	0.03720239678	0.9899675758
726	0.03710896861	0.9898912836
727	0.0370199943	0.9898531375
728	0.03680192695	0.9899675758
729	0.03679388397	0.9899675758
730	0.03676123373	0.9899294297
731	0.03666783648	0.9898912836
732	0.03660268327	0.9898912836
733	0.03656301682	0.9899294297
734	0.03656300498	0.9899294297
735	0.03645483287	0.9899294297
736	0.03645467168	0.9899294297
737	0.03645466953	0.9899294297
738	0.03645410043	0.9899294297
739	0.03637930356	0.9899294297
740	0.03633905166	0.9899294297
741	0.03632267953	0.9898912836
742	0.03629936153	0.9899294297
743	0.03618896303	0.9901201602
744	0.03596485094	0.9903490368
745	0.0358403143	0.9901583063
746	0.03581150694	0.9901583063
747	0.03565125615	0.9902345985
748	0.03561510374	0.9902727446
749	0.03558897617	0.9903490368
750	0.03558891404	0.9903490368
751	0.03552925808	0.9902345985
752	0.03544384615	0.9903871829
753	0.03544224439	0.990425329
754	0.03544214996	0.990425329
755	0.03533891222	0.9903871829
756	0.03533866891	0.9903871829
757	0.03525079711	0.9905016212
758	0.0350712828	0.9906160595
759	0.03501409035	0.9907304978
760	0.03491089138	0.9905779134
761	0.03486634814	0.9906160595
762	0.03482978753	0.9905779134
763	0.03482940134	0.9905779134
764	0.03482929121	0.9905779134
765	0.03482905875	0.9905779134
766	0.0346658941	0.9906542056
767	0.03464296363	0.9906160595
768	0.03456880042	0.9906923517
769	0.03450517213	0.9907686439
770	0.0344753534	0.9907686439
771	0.03430307516	0.9907304978
772	0.03418773059	0.99080679
773	0.03411896518	0.9908449361
774	0.03411896518	0.9908449361
775	0.03401145456	0.9909975205
776	0.0340113288	0.9909975205
777	0.03397396649	0.9909975205
778	0.03394723833	0.9909593744
779	0.03389117835	0.9909593744
780	0.03389077351	0.9909593744
781	0.03378331328	0.9909975205
782	0.03370631576	0.9911119588
783	0.03365384501	0.9911119588
784	0.03352376333	0.9912645432
785	0.03352363432	0.9912645432
786	0.03350046766	0.9912263971
787	0.03350024272	0.9912263971
788	0.03336488833	0.9913026893
789	0.03336481091	0.9913026893
790	0.03336473293	0.9913026893
791	0.03336465288	0.9913026893
792	0.03331177088	0.9913789815
793	0.03331111487	0.9913789815
794	0.03324205414	0.9913408354
795	0.03319373996	0.9912645432
796	0.0331936064	0.9912645432
797	0.03319354733	0.9912645432
798	0.03319352839	0.9912645432
799	0.03319326588	0.9912645432
800	0.03319301163	0.9912645432
801	0.03319288272	0.9912645432
802	0.0331927551	0.9912645432
803	0.03319249423	0.9912645432
804	0.03319226909	0.9912645432
805	0.033185045	0.9912645432
806	0.03317316453	0.9912645432
807	0.03317316453	0.9912645432
808	0.03317259251	0.9912645432
809	0.03317253147	0.9912645432
810	0.0330723072	0.9913789815
811	0.03298093607	0.9914552737
812	0.03298093607	0.9914552737
813	0.03285238055	0.9914934198
814	0.03278454991	0.9913408354
815	0.03278454806	0.9913408354
816	0.03278430787	0.9913408354
817	0.0327075553	0.9913789815
818	0.03270752678	0.9913789815
819	0.03270750368	0.9913789815
820	0.03263891718	0.9915315659
821	0.03263891718	0.9915315659
822	0.03263877972	0.9915315659
823	0.03263877131	0.9915315659
824	0.03263877131	0.9915315659
825	0.03263877131	0.9915315659
826	0.03258565567	0.991569712
827	0.03249652865	0.9915315659
828	0.0324146297	0.9915315659
829	0.03241456245	0.9915315659
830	0.03229028262	0.991569712
831	0.03228194202	0.991569712
832	0.03219878508	0.9917222964
833	0.03219873284	0.9917222964
834	0.03218832005	0.9917222964
835	0.03218827683	0.9917222964
836	0.03218823087	0.9917222964
837	0.03218818892	0.9917222964
838	0.03218809383	0.9917222964
839	0.03218809383	0.9917222964
840	0.0321878927	0.9917222964
841	0.0321876735	0.9917222964
842	0.03218766828	0.9917222964
843	0.03218763601	0.9917222964
844	0.0321874398	0.9917222964
845	0.03218742896	0.9917222964
846	0.03218737052	0.9917222964
847	0.03218735465	0.9917222964
848	0.03218723607	0.9917222964
849	0.03218707142	0.9917222964
850	0.03218704587	0.9917222964
851	0.03218693046	0.9917222964
852	0.03218681827	0.9917222964
853	0.03218680498	0.9917222964
854	0.03218638675	0.9917222964
855	0.03218637896	0.9917222964
856	0.03218635145	0.9917222964
857	0.03218614881	0.9917222964
858	0.03208388143	0.991569712
859	0.03208341563	0.991569712
860	0.03208340077	0.991569712
861	0.03208337448	0.991569712
862	0.03208332626	0.991569712
863	0.03208332626	0.991569712
864	0.03208329397	0.991569712
865	0.03208318918	0.991569712
866	0.03206959197	0.9916078581
867	0.03206915999	0.9916078581
868	0.03206915111	0.9916078581
869	0.03206914415	0.9916078581
870	0.03206881623	0.9916078581
871	0.0320687823	0.9916078581
872	0.03206830359	0.9916078581
873	0.03206830359	0.9916078581
874	0.03206819917	0.9916078581
875	0.03206817012	0.9916078581
876	0.03206808842	0.9916078581
